Ticker,Acurácia Dir %,MAPE %,Acertos,Erros,Dias Teste,Dias Treino,Classe
MBG.DE,49.6,143.98,125,127,252,823,🔴 Fraco
CHH,49.6,306.63,124,126,250,805,🔴 Fraco
CCL,49.6,241.46,124,126,250,805,🔴 Fraco
NVAX,49.6,437.57,124,126,250,805,🔴 Fraco
MSGS,49.6,486.52,124,126,250,805,🔴 Fraco
STLD,49.6,221.37,124,126,250,805,🔴 Fraco
BAH,49.6,197.92,124,126,250,805,🔴 Fraco
ULVR.L,49.6,184.05,125,127,252,809,🔴 Fraco
GD,49.6,253.61,124,126,250,805,🔴 Fraco
RIOT,49.6,198.82,124,126,250,805,🔴 Fraco
VRTX,49.6,294.6,124,126,250,805,🔴 Fraco
DELL,49.6,387.0,124,126,250,805,🔴 Fraco
BP,49.6,207.0,124,126,250,805,🔴 Fraco
GILD,49.6,171.5,124,126,250,805,🔴 Fraco
GFI,49.6,263.4,124,126,250,805,🔴 Fraco
NI,49.6,126.56,124,126,250,805,🔴 Fraco
CELH,49.6,287.52,124,126,250,805,🔴 Fraco
CMG,49.6,290.71,124,126,250,805,🔴 Fraco
HCA,49.6,236.18,124,126,250,805,🔴 Fraco
DG,49.6,293.38,124,126,250,805,🔴 Fraco
COST,49.6,416.36,124,126,250,805,🔴 Fraco
MFC,49.6,201.31,124,126,250,805,🔴 Fraco
APD,49.6,205.96,124,126,250,805,🔴 Fraco
YPF,49.6,226.35,124,126,250,805,🔴 Fraco
WMT,49.6,196.96,124,126,250,805,🔴 Fraco
PEG,49.6,158.32,124,126,250,805,🔴 Fraco
ATRC,49.6,156.47,124,126,250,805,🔴 Fraco
ZS,49.6,392.93,124,126,250,805,🔴 Fraco
AGRO3.SA,49.4,218.9,123,126,249,798,🔴 Fraco
PETR3.SA,49.4,252.57,123,126,249,798,🔴 Fraco
SEER3.SA,49.4,196.78,123,126,249,798,🔴 Fraco
BARC.L,49.4,219.06,124,127,251,809,🔴 Fraco
VIVT3.SA,49.4,185.47,123,126,249,798,🔴 Fraco
PGMN3.SA,49.4,271.23,123,126,249,798,🔴 Fraco
NOVO-B.CO,49.39,259.85,121,124,245,808,🔴 Fraco
SIKA.SW,49.39,195.09,122,125,247,810,🔴 Fraco
GIVN.SW,49.39,185.28,122,125,247,810,🔴 Fraco
DG.PA,49.21,170.97,125,129,254,827,🔴 Fraco
DOCU,49.2,174.0,123,127,250,805,🔴 Fraco
PDD,49.2,408.5,123,127,250,805,🔴 Fraco
NWE,49.2,170.26,123,127,250,805,🔴 Fraco
SMFG,49.2,166.3,123,127,250,805,🔴 Fraco
TDOC,49.2,189.59,123,127,250,805,🔴 Fraco
EPD,49.2,163.92,123,127,250,805,🔴 Fraco
CHTR,49.2,315.59,123,127,250,805,🔴 Fraco
JACK,49.2,234.21,123,127,250,805,🔴 Fraco
INFY,49.2,198.02,123,127,250,805,🔴 Fraco
AES,49.2,370.05,123,127,250,805,🔴 Fraco
EQIX,49.2,359.1,123,127,250,805,🔴 Fraco
OXY,49.2,205.68,123,127,250,805,🔴 Fraco
